Main Category,Sub-Category,Hierarchy Path,Component Role,Constraint Text,Subcategory Min Qty,Subcategory Max Qty,Table Rule/Note,Product #,Option Type,Description,Current Qty,Unit Price (USD),Price Delta (USD),Extended Price (USD),Price per GB (USD),HPE Recommended,Availability,Lead Time,Lead Time Source,Lifecycle Status,Start Date,Discontinued Date,Vendor Attributes (JSON),Diff Status,Previous List Price (USD),Price Change (USD),Price Change (%),Price History Trail
Chassis,Variants,HPE OCA > DL145 Gen11 > Chassis > Variants,Base Chassis,"min 1, max 1",1,1,"Select exactly one currently discoverable, non-TAA/non-GTA CTO base chassis",P71964-B21,CTO,HPE ProLiant DL145 Gen11 Configure-to-order Server,1,"$2,375.00",,,,Yes,Available in OCA product catalog,EDT 22 - 28 days,OCA selected configuration estimate,Active,,,,UNCHANGED,"$2,375.00",$0.00,$0.00,"$2,026.00"
Accessories & Infrastructure,Chassis Infrastructure & Rail Kits,HPE OCA > DL145 Gen11 > Accessories & Infrastructure > Chassis Infrastructure & Rail Kits,Chassis Infrastructure,max 4,0,4,Selection constraint for Chassis Infrastructure & Rail Kits: max 4,P22020-B21,Standard,HPE DL38X Gen10 Plus 2U Cable Management Arm for Rail Kit,1,$89.00,,$0.00,,No,Available,,Not published by OCA,Active,12/23/2019,05/31/2028,"{""Extended Price (USD)"":""0""}",UNCHANGED,$89.00,$0.00,$0.00,"$2,026.00"
Accessories & Infrastructure,Chassis Infrastructure & Rail Kits,HPE OCA > DL145 Gen11 > Accessories & Infrastructure > Chassis Infrastructure & Rail Kits,Chassis Infrastructure,max 4,0,4,Selection constraint for Chassis Infrastructure & Rail Kits: max 4,P52349-B21,Standard,HPE Easy Install Rail 1 Kit,1,$373.00,,$0.00,,No,Available,,Not published by OCA,Active,01/10/2023,06/30/2028,"{""Extended Price (USD)"":""0""}",UNCHANGED,$373.00,$0.00,$0.00,"$2,026.00"
Accessories & Infrastructure,Chassis Infrastructure & Rail Kits,HPE OCA > DL145 Gen11 > Accessories & Infrastructure > Chassis Infrastructure & Rail Kits,Cable Kit,max 4,0,4,Selection constraint for Chassis Infrastructure & Rail Kits: max 4,P72008-B21,Standard,HPE ProLiant DL145 Gen11 Rack Enablement Kit,1,$86.00,,$0.00,,No,Available,,Not published by OCA,Active,09/03/2024,06/30/2028,"{""Extended Price (USD)"":""0""}",UNCHANGED,$86.00,$0.00,$0.00,"$2,026.00"
Accessories & Infrastructure,Chassis Infrastructure & Rail Kits,HPE OCA > DL145 Gen11 > Accessories & Infrastructure > Chassis Infrastructure & Rail Kits,Chassis Infrastructure,max 4,0,4,Selection constraint for Chassis Infrastructure & Rail Kits: max 4,P78764-B21,Standard,HPE ProLiant DL145 Gen11 2-post Rail Kit,0,$110.00,,$0.00,,No,Available,,Not published by OCA,Active,03/03/2025,06/30/2028,"{""Extended Price (USD)"":""0""}",UNCHANGED,$110.00,$0.00,$0.00,"$2,026.00"
Accessories & Infrastructure,System Options,HPE OCA > DL145 Gen11 > Accessories & Infrastructure > System Options,Chassis Infrastructure,Optional,0,Optional,"""HPE DL145 Gen11 Desk/Wall Mount Kit"" and ""HPE DL145 Gen11 Rack enable kit"" cannot be selected together.",P72006-B21,Standard,HPE ProLiant DL145 Gen11 Desk/Wall Mounting Kit,0,$118.00,,$0.00,,No,Not published by OCA,,Not published by OCA,Active,09/03/2024,06/30/2028,"{""Extended Price (USD)"":""0""}",UNCHANGED,$118.00,$0.00,$0.00,"$2,026.00"
Accessories & Infrastructure,Acoustics,HPE OCA > DL145 Gen11 > Accessories & Infrastructure > Acoustics,Chassis Infrastructure,max 1,0,1,Selection constraint for Acoustics: max 1,P73006-B21,Standard,HPE ProLiant DL145 Gen11 Optimised Acoustics FIO Configuration,1,$1.00,,$0.00,,No,Available,,Not published by OCA,Active,09/03/2024,09/30/2099,"{""Extended Price (USD)"":""0""}",UNCHANGED,$1.00,$0.00,$0.00,"$2,026.00"
Processor,Processors,HPE OCA > DL145 Gen11 > Processor > Processors,Processor,"min 1, max 1",1,1,Selection constraint for Processors: max 1,P69259-B21,Standard,AMD EPYC 8124P 2.45GHz 16-core 125W Processor for HPE,0,"$1,744.00",$0.00,$0.00,,No,Available,,Not published by OCA,Active,09/03/2024,06/30/2028,"{""Price Delta (USD)"":""0"",""Extended Price (USD)"":""0""}",UNCHANGED,"$1,744.00",$0.00,$0.00,"$2,026.00"
Processor,Processors,HPE OCA > DL145 Gen11 > Processor > Processors,Processor,"min 1, max 1",1,1,Selection constraint for Processors: max 1,P69262-B21,Standard,AMD EPYC 8434P 2.5GHz 48-core 200W Processor for HPE,0,"$7,371.00",$0.00,$0.00,,No,Available,,Not published by OCA,Active,09/03/2024,06/30/2028,"{""Price Delta (USD)"":""0"",""Extended Price (USD)"":""0""}",UNCHANGED,"$7,371.00",$0.00,$0.00,"$2,026.00"
Processor,Processors,HPE OCA > DL145 Gen11 > Processor > Processors,Processor,"min 1, max 1",1,1,Selection constraint for Processors: max 1,P69263-B21,Standard,AMD EPYC 8534P 2.3GHz 64-core 200W Processor for HPE,0,"$9,654.00",$0.00,$0.00,,No,Available,,Not published by OCA,Active,09/03/2024,06/30/2028,"{""Price Delta (USD)"":""0"",""Extended Price (USD)"":""0""}",UNCHANGED,"$9,654.00",$0.00,$0.00,"$2,026.00"
