Main Category	Sub-Category	Constraint	Rule Type	Rule Text
Chassis	Variants	max 1	Quantity Constraint	Quantity: max 1
Accessories & Infrastructure	Energy Star Configuration Presets	Optional	Quantity Constraint	Quantity: Optional
Processor	Intel Xeon 6th Gen Scalable Processors	max 2	Quantity Constraint	Quantity: max 2
Cooling / Thermal	Standard & Performance Heat Sinks	max 6	Quantity Constraint	Quantity: max 6
Memory	DDR5 Registered Smart Memory	max 32	Quantity Constraint	Quantity: max 32
Memory	DDR4 Registered Smart Memory	max 32	Quantity Constraint	Quantity: max 32
PCIe Risers	Secondary PCIe Risers	max 3	Quantity Constraint	Quantity: max 3
Drive Enclosures / Drives	SFF Drive Cages & Enablement	max 24	Quantity Constraint	Quantity: max 24
PCIe Risers	Tertiary PCIe Risers	max 3	Quantity Constraint	Quantity: max 3
Drive Enclosures / Drives	Drive Blank & FIO Enablement Kits	max 24	Quantity Constraint	Quantity: max 24
PCIe Risers	Primary PCIe Risers	max 3	Quantity Constraint	Quantity: max 3
Storage Controllers	Tri-Mode MegaRAID Storage Controllers	max 4	Quantity Constraint	Quantity: max 4
Storage Controllers	Smart Array SAS Controllers	max 4	Quantity Constraint	Quantity: max 4
Accessories & Infrastructure	System Options	Optional	Quantity Constraint	Quantity: Optional
Accessories & Infrastructure	Smart Storage Batteries	Optional	Quantity Constraint	Quantity: Optional
Storage Controllers	Storage Controller Cable Kits	max 4	Quantity Constraint	Quantity: max 4
Software & Licenses	Server Management & Operating System Licenses	Unlimited	Quantity Constraint	Quantity: Unlimited
Networking	PCIe Networking Adapters	max 8	Quantity Constraint	Quantity: max 8
Networking	OCP3 Networking Adapters	max 8	Quantity Constraint	Quantity: max 8
Drive Enclosures / Drives	Solid State Drives (NVMe/SAS/SATA)	max 24	Quantity Constraint	Quantity: max 24
Cables & Enablement Kits	Power Cords & Jumper Cables	max 32	Quantity Constraint	Quantity: max 32
Power Supplies	Flex Slot Power Supplies	max 2	Quantity Constraint	Quantity: max 2
Processor	Intel Xeon Scalable Processors	max 2	Quantity Constraint	Quantity: max 2
Power Supplies	-48VDC Power Supplies & Cable Kits	max 2	Quantity Constraint	Quantity: max 2
Cooling / Thermal	High Performance & Standard Fan Kits	max 6	Quantity Constraint	Quantity: max 6
Accessories & Infrastructure	(Sub-table)	max 32	Quantity Constraint	Quantity: max 32
Chassis	Variants	Chassis Standard (Max 1)	Configuration Rule	Mandatory base chassis selection required for solution build
Accessories & Infrastructure	Energy Star Configuration Presets	optional	Configuration Rule	Selection constraint for Energy Star Configuration Presets: optional
Processor	Intel Xeon 6th Gen Scalable Processors	min 1, max 2	Configuration Rule	Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2
Cooling / Thermal	Standard & Performance Heat Sinks	max 6	Configuration Rule	Selection constraint for Standard & Performance Heat Sinks: max 6
Cooling / Thermal	Standard & Performance Heat Sinks	max 6	Configuration Rule	Mixing of Heat sink is not allowed.
Memory	DDR5 Registered Smart Memory	max 32	Configuration Rule	Selection constraint for DDR5 Registered Smart Memory: max 32
Memory	DDR5 Registered Smart Memory	max 32	Configuration Rule	Mixing of x4 and x8 memory is not allowed
Memory	DDR5 Registered Smart Memory	max 32	Configuration Rule	These products are hidden due to Supply constraints
Memory	DDR5 Registered Smart Memory	max 32	Configuration Rule	96GB Memory cannot be mixed with any other Memory.
Memory	DDR5 Registered Smart Memory	max 32	Configuration Rule	128GB Memory cannot be mixed with any other Memory.
Memory	DDR5 Registered Smart Memory	max 32	Configuration Rule	Mixing of 3DS and non 3DS memory is not allowed.
Memory	DDR4 Registered Smart Memory	max 32	Configuration Rule	Selection constraint for DDR4 Registered Smart Memory: max 32
PCIe Risers	Secondary PCIe Risers	max 3	Configuration Rule	Selection constraint for Secondary PCIe Risers: max 3
Drive Enclosures / Drives	SFF Drive Cages & Enablement	max 24	Configuration Rule	Supported with EDSFF CTO Server only.
PCIe Risers	Tertiary PCIe Risers	max 3	Configuration Rule	Supported with 8LFF and 12LFF CTO Server only.
Drive Enclosures / Drives	SFF Drive Cages & Enablement	max 24	Configuration Rule	Supported with 8LFF CTO Server only.
PCIe Risers	Tertiary PCIe Risers	max 3	Configuration Rule	Define connection for 8SFF x4 Cage only needed if cage is selected.
Drive Enclosures / Drives	Drive Blank & FIO Enablement Kits	max 24	Configuration Rule	Selection constraint for Drive Blank & FIO Enablement Kits: max 24
PCIe Risers	Primary PCIe Risers	max 3	Configuration Rule	Selection constraint for Primary PCIe Risers: max 3
PCIe Risers	Tertiary PCIe Risers	max 3	Configuration Rule	Tertiary x8x16 Riser and OCPA x16/ CPU1 OCPB x8 cannot be selected together.
PCIe Risers	Primary PCIe Risers	max 3	Configuration Rule	Supported with EDSFF CTO Server only.
