Main Category	Sub-Category	Hierarchy Path	Component Role	Constraint Text	Subcategory Min Qty	Subcategory Max Qty	Table Rule/Note	Product #	Option Type	Description	Current Qty	Unit Price (USD)	Price Delta (USD)	Extended Price (USD)	Price per GB (USD)	HPE Recommended	Start Date	Discontinued Date	Diff Status	Previous List Price (USD)	Price Change (USD)	Price Change (%)	Price History Trail
Accessories & Infrastructure	Chassis Infrastructure & Rail Kits	HPE OCA > DL380 Gen12 SFF > Accessories & Infrastructure > Chassis Infrastructure & Rail Kits	Option Component	Optional	0	Optional	Selection constraint for Chassis Infrastructure & Rail Kits: optional	875519-B21	Standard	HPE Bezel Lock Kit	0	89.00		NA		No	07/11/2017	06/30/2029	UNCHANGED	89.00	$0.00	0.00%	2026-08-22: $89.00 → 2026-08-24: $7112017.00 (▲)
Accessories & Infrastructure	Chassis Infrastructure & Rail Kits	HPE OCA > DL380 Gen12 SFF > Accessories & Infrastructure > Chassis Infrastructure & Rail Kits	Option Component	Optional	0	Optional	Selection constraint for Chassis Infrastructure & Rail Kits: optional	P48922-B21	Standard	HPE ProLiant DL3XX Gen11 Intrusion Cable Kit	0	38.00		NA		No	11/10/2022	09/30/2028	UNCHANGED	38.00	$0.00	0.00%	2026-08-22: $38.00 → 2026-08-24: $11102022.00 (▲)
Accessories & Infrastructure	Chassis Infrastructure & Rail Kits	HPE OCA > DL380 Gen12 SFF > Accessories & Infrastructure > Chassis Infrastructure & Rail Kits	Chassis Infrastructure	Optional	0	Optional	Selection constraint for Chassis Infrastructure & Rail Kits: optional	P50400-B21	Standard	HPE Gen11 2U Bezel Kit	0	88.00		NA		No	11/10/2022	09/30/2028	UNCHANGED	88.00	$0.00	0.00%	2026-08-22: $88.00 → 2026-08-24: $11102022.00 (▲)
Accessories & Infrastructure	Chassis Infrastructure & Rail Kits	HPE OCA > DL380 Gen12 SFF > Accessories & Infrastructure > Chassis Infrastructure & Rail Kits	Chassis Infrastructure	Optional	0	Optional	Selection constraint for Chassis Infrastructure & Rail Kits: optional	S6B45A	Service	Yong Hau HPE-OEM-02 2U Bezel Kit	0	88.00		NA		No	02/13/2025	03/31/2029	UNCHANGED	88.00	$0.00	0.00%	2026-08-22: $88.00 → 2026-08-24: $2132025.00 (▲)
Drive Enclosures / Drives	Solid State Drives (NVMe/SAS/SATA)	HPE OCA > DL380 Gen12 SFF > Drive Enclosures / Drives > Solid State Drives (NVMe/SAS/SATA)	Option Component	max 24	0	24	Selection constraint for Solid State Drives (NVMe/SAS/SATA): max 24	R8M41A	Service	NVIDIA Ethernet 100Gb 2-port NVMe-oF Offload Adapter for HPE	0	3999.00		NA		No	05/02/2022	02/28/2027	UNCHANGED	3999.00	$0.00	0.00%	2026-08-22: $3999.00 → 2026-08-24: (no price)
Drive Enclosures / Drives	Solid State Drives (NVMe/SAS/SATA)	HPE OCA > DL380 Gen12 SFF > Drive Enclosures / Drives > Solid State Drives (NVMe/SAS/SATA)	Option Component	max 24	0	24	Selection constraint for Solid State Drives (NVMe/SAS/SATA): max 24	S2A69A	Service	NVIDIA Ethernet 10/25Gb 2-port SFP28 NVMe-oF Crypto Adapter for HPE	0	1650.00		NA		No	03/04/2024	08/06/2027	UNCHANGED	1650.00	$0.00	0.00%	2026-08-22: $1650.00 → 2026-08-24: (no price)
Drive Enclosures / Drives	Solid State Drives (NVMe/SAS/SATA)	HPE OCA > DL380 Gen12 SFF > Drive Enclosures / Drives > Solid State Drives (NVMe/SAS/SATA)	Option Component	max 24	0	24	Selection constraint for Solid State Drives (NVMe/SAS/SATA): max 24	P08443-B21	Standard	Intel E810-XXVDA2 Ethernet 10/25Gb 2-port SFP28 Adapter for HPE	0	1680.00		NA		No	04/06/2021	11/30/2027	UNCHANGED	1680.00	$0.00	0.00%	2026-08-22: $1680.00 → 2026-08-24: (no price)
Drive Enclosures / Drives	Solid State Drives (NVMe/SAS/SATA)	HPE OCA > DL380 Gen12 SFF > Drive Enclosures / Drives > Solid State Drives (NVMe/SAS/SATA)	Option Component	max 24	0	24	Selection constraint for Solid State Drives (NVMe/SAS/SATA): max 24	P25960-B21	Standard	Mellanox MCX623106AS-CDAT Ethernet 100Gb 2-port QSFP56 Adapter for HPE	0	4373.00		NA		No	09/28/2020	12/31/2028	UNCHANGED	4373.00	$0.00	0.00%	2026-08-22: $4373.00 → 2026-08-24: (no price)
Drive Enclosures / Drives	Solid State Drives (NVMe/SAS/SATA)	HPE OCA > DL380 Gen12 SFF > Drive Enclosures / Drives > Solid State Drives (NVMe/SAS/SATA)	Option Component	max 24	0	24	Selection constraint for Solid State Drives (NVMe/SAS/SATA): max 24	P26253-B21	Standard	Broadcom BCM57416 Ethernet 10Gb 2-port BASE-T Adapter for HPE	0	1105.00		NA		No	11/02/2020	12/31/2028	UNCHANGED	1105.00	$0.00	0.00%	2026-08-22: $1105.00 → 2026-08-24: (no price)
Drive Enclosures / Drives	Solid State Drives (NVMe/SAS/SATA)	HPE OCA > DL380 Gen12 SFF > Drive Enclosures / Drives > Solid State Drives (NVMe/SAS/SATA)	Option Component	max 24	0	24	Selection constraint for Solid State Drives (NVMe/SAS/SATA): max 24	P26259-B21	Standard	Broadcom BCM57412 Ethernet 10Gb 2-port SFP+ Adapter for HPE	0	940.00		NA		No	10/05/2020	12/31/2028	UNCHANGED	940.00	$0.00	0.00%	2026-08-22: $940.00 → 2026-08-24: (no price)
