Main Category,Sub-Category,Hierarchy Path,Component Role,Constraint Text,Subcategory Min Qty,Subcategory Max Qty,Table Rule/Note,Product #,Option Type,Description,Current Qty,Unit Price (USD),Price Delta (USD),Extended Price (USD),Price per GB (USD),HPE Recommended,Start Date,Discontinued Date,Diff Status,Previous List Price (USD),Price Change (USD),Price Change (%),Price History Trail
Chassis,Variants,HPE OCA > DL380 Gen12 SFF > Chassis > Variants,Base Chassis,max 1,0,1,Mandatory base chassis selection required for solution build,P73282-B21,CTO,HPE ProLiant Compute DL380 Gen12 8SFF NC CTO Server,1,"$5,584.00",,,,Yes,2026-08-24,,ATTRIBUTE_CHANGED,"$5,584.00",$0.00,$0.00,2026-08-12: $5584.00 → 2026-08-12: $5584.00 → 2026-08-13: $5584.00 → 2026-08-14: $5584.00 → 2026-08-16: $5584.00 → 2026-08-19: $5584.00 → 2026-08-22: $5584.00 → 2026-08-22: $5584.00 → 2026-08-22: $5584.00 → 2026-08-22: $5584.00 (✕ REMOVED) → 2026-08-22: $5584.00 (↩ REINSTATED) → 2026-08-24: $1.00 (▼)
Chassis,Variants,HPE OCA > DL380 Gen12 SFF > Chassis > Variants,Base Chassis,max 1,0,1,Mandatory base chassis selection required for solution build,P73283-B21,CTO,HPE ProLiant Compute DL380 Gen12 24SFF NC CTO Server,1,"$5,980.00",,,,Yes,2026-08-24,,ATTRIBUTE_CHANGED,"$5,980.00",$0.00,$0.00,2026-08-12: $5980.00 → 2026-08-13: $5980.00 → 2026-08-14: $5980.00 → 2026-08-16: $5980.00 → 2026-08-19: $5980.00 → 2026-08-22: $5980.00 → 2026-08-22: $5980.00 → 2026-08-22: $5980.00 → 2026-08-22: $5980.00 (✕ REMOVED) → 2026-08-22: $5980.00 (↩ REINSTATED) → 2026-08-24: $5980.00 (✕ REMOVED)
Chassis,Variants,HPE OCA > DL380 Gen12 SFF > Chassis > Variants,Base Chassis,max 1,0,1,Mandatory base chassis selection required for solution build,P73284-B21,CTO,HPE ProLiant Compute DL380 Gen12 12LFF NC CTO Server,1,"$6,350.00",,,,Yes,2026-08-24,,ATTRIBUTE_CHANGED,"$6,350.00",$0.00,$0.00,2026-08-12: $6350.00 → 2026-08-13: $6350.00 → 2026-08-14: $6350.00 → 2026-08-16: $6350.00 → 2026-08-19: $6350.00 → 2026-08-22: $6350.00 → 2026-08-22: $6350.00 → 2026-08-22: $6350.00 → 2026-08-22: $6350.00 (✕ REMOVED) → 2026-08-22: $6350.00 (↩ REINSTATED) → 2026-08-24: $6350.00 (✕ REMOVED)
Chassis,Variants,HPE OCA > DL380 Gen12 SFF > Chassis > Variants,Base Chassis,max 1,0,1,Mandatory base chassis selection required for solution build,P73285-B21,CTO,HPE ProLiant Compute DL380 Gen12 8LFF NC CTO Server,1,"$6,890.00",,,,Yes,2026-08-24,,ATTRIBUTE_CHANGED,"$6,890.00",$0.00,$0.00,2026-08-12: $6890.00 → 2026-08-13: $6890.00 → 2026-08-14: $6890.00 → 2026-08-16: $6890.00 → 2026-08-19: $6890.00 → 2026-08-22: $6890.00 → 2026-08-22: $6890.00 → 2026-08-22: $6890.00 → 2026-08-22: $6890.00 (✕ REMOVED) → 2026-08-22: $6890.00 (↩ REINSTATED) → 2026-08-24: $6890.00 (✕ REMOVED)
Chassis,Variants,HPE OCA > DL380 Gen12 SFF > Chassis > Variants,Base Chassis,max 1,0,1,Mandatory base chassis selection required for solution build,P73286-B21,CTO,HPE ProLiant Compute DL380 Gen12 16EDSFF NC CTO Server,1,"$7,120.00",,,,Yes,2026-08-24,,ATTRIBUTE_CHANGED,"$7,120.00",$0.00,$0.00,2026-08-12: $7120.00 → 2026-08-13: $7120.00 → 2026-08-14: $7120.00 → 2026-08-16: $7120.00 → 2026-08-19: $7120.00 → 2026-08-22: $7120.00 → 2026-08-22: $7120.00 → 2026-08-22: $7120.00 → 2026-08-22: $7120.00 (✕ REMOVED) → 2026-08-22: $7120.00 (↩ REINSTATED) → 2026-08-24: $7120.00 (✕ REMOVED)
Chassis,Variants,HPE OCA > DL380 Gen12 SFF > Chassis > Variants,Base Chassis,max 1,0,1,Mandatory base chassis selection required for solution build,P73287-B21,CTO,HPE ProLiant Compute DL380 Gen12 High Power / Telco CTO Server,1,"$7,450.00",,,,Yes,2026-08-24,,ATTRIBUTE_CHANGED,"$7,450.00",$0.00,$0.00,2026-08-12: $7450.00 → 2026-08-13: $7450.00 → 2026-08-14: $7450.00 → 2026-08-16: $7450.00 → 2026-08-19: $7450.00 → 2026-08-22: $7450.00 → 2026-08-22: $7450.00 → 2026-08-22: $7450.00 → 2026-08-22: $7450.00 (✕ REMOVED) → 2026-08-22: $7450.00 (↩ REINSTATED) → 2026-08-24: $7450.00 (✕ REMOVED)
Accessories & Infrastructure,Energy Star Configuration Presets,HPE OCA > DL380 Gen12 SFF > Accessories & Infrastructure > Energy Star Configuration Presets,Chassis Infrastructure,Optional,0,Optional,Selection constraint for Energy Star Configuration Presets: optional,P68503-B21,Standard,ENERGY STAR 4.0 FIO Trigger Configuration Kit for HPE,0,$1.00,,NA,,No,12/04/2023,05/31/2028,UNCHANGED,$1.00,$0.00,$0.00,2026-08-12: $1.00 → 2026-08-12: $1.00 → 2026-08-13: $1.00 → 2026-08-14: $1.00 → 2026-08-16: $1.00 → 2026-08-19: $1.00 → 2026-08-22: $1.00 → 2026-08-22: $1.00 → 2026-08-24: $12042023.00 (▲)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 SFF > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P71117-B21,Standard,Intel Xeon 6710E 2.4GHz 64-core 205W Processor for HPE,0,"$6,096.00","$1,854.00","$12,192.00",,No,11/04/2024,06/30/2029,UNCHANGED,"$6,096.00",$0.00,$0.00,2026-08-12: $6096.00 → 2026-08-12: $6096.00 → 2026-08-13: $6096.00 → 2026-08-14: $6096.00 → 2026-08-16: $6096.00 → 2026-08-19: $6096.00 → 2026-08-22: $6096.00 → 2026-08-22: $6096.00 → 2026-08-24: $1854.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 SFF > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P73834-B21,Standard,Intel Xeon 6767P 2.4GHz 64-core 350W Processor for HPE,0,"$22,485.00","$18,243.00","$44,970.00",,No,02/24/2025,06/30/2029,UNCHANGED,"$22,485.00",$0.00,$0.00,2026-08-12: $22485.00 → 2026-08-12: $22485.00 → 2026-08-13: $22485.00 → 2026-08-14: $22485.00 → 2026-08-16: $22485.00 → 2026-08-19: $22485.00 → 2026-08-22: $22485.00 → 2026-08-22: $22485.00 → 2026-08-24: $18243.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 SFF > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P74506-B21,Standard,Intel Xeon 6515P 2.3GHz 16-core 150W Processor for HPE,0,"$2,457.00","-$1,785.00","$4,914.00",,No,02/24/2025,06/30/2029,UNCHANGED,"$2,457.00",$0.00,$0.00,2026-08-12: $2457.00 → 2026-08-12: $2457.00 → 2026-08-13: $2457.00 → 2026-08-14: $2457.00 → 2026-08-16: $2457.00 → 2026-08-19: $2457.00 → 2026-08-22: $2457.00 → 2026-08-22: $2457.00 → 2026-08-24: (no price)
