Main Category	Sub-Category	Constraint	Rule Type	Rule Text
Chassis	Variants	Discontinued	Configuration Rule	[DISCONTINUED] SKU present in previous scrape but removed from active catalog
Accessories & Infrastructure	Energy Star Configuration Presets	optional	Configuration Rule	Selection constraint for Energy Star Configuration Presets: optional
Processor	Intel Xeon 6th Gen Scalable Processors	min 1, max 2	Configuration Rule	Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2
Cooling / Thermal	Standard & Performance Heat Sinks	max 6	Configuration Rule	Selection constraint for Standard & Performance Heat Sinks: max 6
Cooling / Thermal	Standard & Performance Heat Sinks	max 6	Configuration Rule	Mixing of Heat sink is not allowed.
Memory	DDR5 Registered Smart Memory	max 32	Configuration Rule	Selection constraint for DDR5 Registered Smart Memory: max 32
Memory	DDR5 Registered Smart Memory	max 32	Configuration Rule	Mixing of x4 and x8 memory is not allowed
Memory	DDR5 Registered Smart Memory	max 32	Configuration Rule	These products are hidden due to Supply constraints
Memory	DDR5 Registered Smart Memory	max 32	Configuration Rule	96GB Memory cannot be mixed with any other Memory.
Memory	DDR5 Registered Smart Memory	max 32	Configuration Rule	128GB Memory cannot be mixed with any other Memory.
Memory	DDR5 Registered Smart Memory	max 32	Configuration Rule	Mixing of 3DS and non 3DS memory is not allowed.
Memory	DDR4 Registered Smart Memory	max 32	Configuration Rule	Selection constraint for DDR4 Registered Smart Memory: max 32
PCIe Risers	Secondary PCIe Risers	max 3	Configuration Rule	Selection constraint for Secondary PCIe Risers: max 3
Drive Enclosures / Drives	SFF Drive Cages & Enablement	max 24	Configuration Rule	Supported with EDSFF CTO Server only.
PCIe Risers	Tertiary PCIe Risers	max 3	Configuration Rule	Supported with 8LFF and 12LFF CTO Server only.
Drive Enclosures / Drives	SFF Drive Cages & Enablement	max 24	Configuration Rule	Supported with 8LFF CTO Server only.
PCIe Risers	Tertiary PCIe Risers	max 3	Configuration Rule	Define connection for 8SFF x4 Cage only needed if cage is selected.
Drive Enclosures / Drives	Drive Blank & FIO Enablement Kits	max 24	Configuration Rule	Selection constraint for Drive Blank & FIO Enablement Kits: max 24
PCIe Risers	Primary PCIe Risers	max 3	Configuration Rule	Selection constraint for Primary PCIe Risers: max 3
PCIe Risers	Tertiary PCIe Risers	max 3	Configuration Rule	Tertiary x8x16 Riser and OCPA x16/ CPU1 OCPB x8 cannot be selected together.
PCIe Risers	Primary PCIe Risers	max 3	Configuration Rule	Supported with EDSFF CTO Server only.
