Main Category,Sub-Category,Hierarchy Path,Component Role,Constraint Text,Subcategory Min Qty,Subcategory Max Qty,Table Rule/Note,Product #,Option Type,Description,Current Qty,Unit Price (USD),Price Delta (USD),Extended Price (USD),Price per GB (USD),HPE Recommended,Availability,Lead Time,Lead Time Source,Lifecycle Status,Start Date,Discontinued Date,Vendor Attributes (JSON),Diff Status,Previous List Price (USD),Price Change (USD),Price Change (%),Price History Trail
Chassis,Variants,HPE OCA > DL380a Gen12 > Chassis > Variants,Base Chassis,"min 1, max 1",1,1,"Select exactly one currently discoverable, non-TAA/non-GTA CTO base chassis",P76706-B21,CTO,HPE ProLiant Compute DL380a Gen12 8 Double Wide/16 Single Wide Configure-to-order Server,1,"$21,407.00",,,,Yes,Available in OCA product catalog,EDT 27 - 34 days,OCA selected configuration estimate,Active,03/03/2025,2026-09-09,,UNCHANGED,"$21,407.00",$0.00,$0.00,2026-09-06: $21407.00 → 2026-09-09: $21407.00 (✕ REMOVED) → 2026-09-10: $21407.00
Processor,Processor,HPE OCA > DL380a Gen12 > Processor > Processor,Processor,"min 1, max 2",1,2,Selection constraint for Processor: max 2,P71117-B21,Standard,Intel Xeon 6710E 2.4GHz 64-core 205W Processor for HPE,0,"$6,096.00",$0.00,$0.00,,No,Available,,Not published by OCA,Active,11/04/2024,06/30/2029,"{""Price Delta (USD)"":""0"",""Extended Price (USD)"":""0""}",UNCHANGED,"$6,096.00",$0.00,$0.00,"$2,026.00"
Processor,Processor,HPE OCA > DL380a Gen12 > Processor > Processor,Processor,"min 1, max 2",1,2,Selection constraint for Processor: max 2,P73834-B21,Standard,Intel Xeon 6767P 2.4GHz 64-core 350W Processor for HPE,0,"$22,485.00",$0.00,$0.00,,No,Available,,Not published by OCA,Active,02/24/2025,06/30/2029,"{""Price Delta (USD)"":""0"",""Extended Price (USD)"":""0""}",UNCHANGED,"$22,485.00",$0.00,$0.00,"$2,026.00"
Processor,Processor,HPE OCA > DL380a Gen12 > Processor > Processor,Processor,"min 1, max 2",1,2,Selection constraint for Processor: max 2,P74506-B21,Standard,Intel Xeon 6515P 2.3GHz 16-core 150W Processor for HPE,0,"$2,457.00",$0.00,$0.00,,No,Available,,Not published by OCA,Active,02/24/2025,06/30/2029,"{""Price Delta (USD)"":""0"",""Extended Price (USD)"":""0""}",UNCHANGED,"$2,457.00",$0.00,$0.00,"$2,026.00"
Processor,Processor,HPE OCA > DL380a Gen12 > Processor > Processor,Processor,"min 1, max 2",1,2,Selection constraint for Processor: max 2,P74508-B21,Standard,Intel Xeon 6714P 4.0GHz 8-core 165W Processor for HPE,0,"$8,941.00",$0.00,$0.00,,No,Available,,Not published by OCA,Active,06/02/2025,06/30/2029,"{""Price Delta (USD)"":""0"",""Extended Price (USD)"":""0""}",UNCHANGED,"$8,941.00",$0.00,$0.00,"$2,026.00"
Processor,Processor,HPE OCA > DL380a Gen12 > Processor > Processor,Processor,"min 1, max 2",1,2,Selection constraint for Processor: max 2,P74509-B21,Standard,Intel Xeon 6724P 3.6GHz 16-core 210W Processor for HPE,0,"$11,074.00",$0.00,$0.00,,No,Available,,Not published by OCA,Active,06/02/2025,06/30/2029,"{""Price Delta (USD)"":""0"",""Extended Price (USD)"":""0""}",UNCHANGED,"$11,074.00",$0.00,$0.00,"$2,026.00"
Processor,Processor,HPE OCA > DL380a Gen12 > Processor > Processor,Processor,"min 1, max 2",1,2,Selection constraint for Processor: max 2,P74570-B21,Standard,Intel Xeon 6527P 3.0GHz 24-core 255W Processor for HPE,0,"$8,123.00",$0.00,$0.00,,No,Available,,Not published by OCA,Active,02/24/2025,06/30/2029,"{""Price Delta (USD)"":""0"",""Extended Price (USD)"":""0""}",UNCHANGED,"$8,123.00",$0.00,$0.00,"$2,026.00"
Processor,Processor,HPE OCA > DL380a Gen12 > Processor > Processor,Processor,"min 1, max 2",1,2,Selection constraint for Processor: max 2,P74571-B21,Standard,Intel Xeon 6530P 2.3GHz 32-core 225W Processor for HPE,0,"$6,830.00",$0.00,$0.00,,No,Available,,Not published by OCA,Active,02/24/2025,06/30/2029,"{""Price Delta (USD)"":""0"",""Extended Price (USD)"":""0""}",UNCHANGED,"$6,830.00",$0.00,$0.00,"$2,026.00"
Processor,Processor,HPE OCA > DL380a Gen12 > Processor > Processor,Processor,"min 1, max 2",1,2,Selection constraint for Processor: max 2,P71119-B21,Standard,Intel Xeon 6740E 2.4GHz 96-core 250W Processor for HPE,0,"$8,459.00",$0.00,$0.00,,No,Available,,Not published by OCA,Active,11/04/2024,06/30/2029,"{""Price Delta (USD)"":""0"",""Extended Price (USD)"":""0""}",UNCHANGED,"$8,459.00",$0.00,$0.00,"$2,026.00"
Processor,Processor,HPE OCA > DL380a Gen12 > Processor > Processor,Processor,"min 1, max 2",1,2,Selection constraint for Processor: max 2,P71120-B21,Standard,Intel Xeon 6746E 2.0GHz 112-core 250W Processor for HPE,0,"$8,965.00",$0.00,$0.00,,No,Available,,Not published by OCA,Active,11/04/2024,06/30/2029,"{""Price Delta (USD)"":""0"",""Extended Price (USD)"":""0""}",UNCHANGED,"$8,965.00",$0.00,$0.00,"$2,026.00"
