Main Category	Sub-Category	Constraint	Rule Type	Rule Text
Unknown	Processor	max 2	Quantity Constraint	Quantity: max 2
Unknown	Heatsink Kit	max 1	Quantity Constraint	Quantity: max 1
Unknown	Memory	max 32	Quantity Constraint	Quantity: max 32
Unknown	GPU Mode	max 1	Quantity Constraint	Quantity: max 1
Unknown	SAS Controller	max 2	Quantity Constraint	Quantity: max 2
Unknown	Drive Cage	max 4	Quantity Constraint	Quantity: max 4
Unknown	Internal Storage Controller Cables	max 2	Quantity Constraint	Quantity: max 2
Unknown	Hot Plug SFF	max 4	Quantity Constraint	Quantity: max 4
Unknown	RAID Settings	max 1	Quantity Constraint	Quantity: max 1
Unknown	iLO Common Password	max 1	Quantity Constraint	Quantity: max 1
Unknown	Memory Setting	max 1	Quantity Constraint	Quantity: max 1
Unknown	Riser Cards	max 5	Quantity Constraint	Quantity: max 5
Unknown	Accessories	max 3	Quantity Constraint	Quantity: max 3
Unknown	InfiniBand PCIe	max 2	Quantity Constraint	Quantity: max 2
Unknown	Ethernet PCIe	max 2	Quantity Constraint	Quantity: max 2
Unknown	Ethernet OCP	max 2	Quantity Constraint	Quantity: max 2
Unknown	Fibre Channel HBA	max 2	Quantity Constraint	Quantity: max 2
Unknown	Upgrades	max 3	Quantity Constraint	Quantity: max 3
Unknown	Transceivers	max 14	Quantity Constraint	Quantity: max 14
Unknown	Graphics Accessories	max 16	Quantity Constraint	Quantity: max 16
Unknown	Power Supplies	max 8	Quantity Constraint	Quantity: max 8
Unknown	Accessories	max 1	Quantity Constraint	Quantity: max 1
Unknown	Power Cooling Options	max 2	Quantity Constraint	Quantity: max 2
Unknown	Power Cords	max 8	Quantity Constraint	Quantity: max 8
Unknown	Management Hardware	max 2	Quantity Constraint	Quantity: max 2
Unknown	Security Hardware	max 1	Quantity Constraint	Quantity: max 1
Unknown	Rack Options	max 2	Quantity Constraint	Quantity: max 2
Unknown	OS Boot Device	max 2	Quantity Constraint	Quantity: max 2
Unknown	Manufacturing Services	max 2	Quantity Constraint	Quantity: max 2
Unknown	HPC Software Products	Unlimited	Quantity Constraint	Quantity: Unlimited
Unknown	High Availability Computing - Cluster Software	Unlimited	Quantity Constraint	Quantity: Unlimited
Unknown	NVIDIA GPU SW	Unlimited	Quantity Constraint	Quantity: Unlimited
Unknown	Partner Software - Operating System	Unlimited	Quantity Constraint	Quantity: Unlimited
Unknown	Compute Ops Management SKUs (required)	max 1	Quantity Constraint	Quantity: max 1
Unknown	Compute Ops Management Enablement SKUs	max 1	Quantity Constraint	Quantity: max 1
Unknown	OEM Software	Unlimited	Quantity Constraint	Quantity: Unlimited
Unknown	Red Hat (add-ons)	Unlimited	Quantity Constraint	Quantity: Unlimited
Unknown	iLO	Unlimited	Quantity Constraint	Quantity: Unlimited
Unknown	OneView Management Software	max 1	Quantity Constraint	Quantity: max 1
Unknown	INTEL VROC Products	max 1	Quantity Constraint	Quantity: max 1
Unknown	Supported Operating System	Unlimited	Quantity Constraint	Quantity: Unlimited
Unknown	MS Windows Server	Unlimited	Quantity Constraint	Quantity: Unlimited
Unknown	Red Hat OpenShift Platform Container	Unlimited	Quantity Constraint	Quantity: Unlimited
Unknown	Resale Option Kit	Unlimited	Quantity Constraint	Quantity: Unlimited
Unknown	SUSE Linux Enterprise Server	Unlimited	Quantity Constraint	Quantity: Unlimited
Unknown	Microsoft Windows CAL Packs	Unlimited	Quantity Constraint	Quantity: Unlimited
Unknown	Red Hat Enterprise Linux Server-Virtualization	Unlimited	Quantity Constraint	Quantity: Unlimited
Unknown	VMware vCloud Products	Unlimited	Quantity Constraint	Quantity: Unlimited
Chassis	Variants	min 1, max 1 — Active OCA Base Chassis	Configuration Rule	Base chassis captured from the active OCA configuration summary
Processor	Processor	max 2	Configuration Rule	Selection constraint for Processor: max 2
Cooling / Thermal	Heatsink Kit	max 1	Configuration Rule	Selection constraint for Heatsink Kit: max 1
Memory	Memory	max 32	Configuration Rule	Selection constraint for Memory: max 32
Memory	Memory	max 32	Configuration Rule	These products are hidden due to Supply constraints
Memory	Memory	max 32	Configuration Rule	Mixing of memory is not allowed.
Graphics & GPU	GPU Mode	max 1	Configuration Rule	Selection constraint for GPU Mode: max 1
Storage Controllers	SAS Controller	max 2	Configuration Rule	Selection constraint for SAS Controller: max 2
Drive Enclosures / Drives	Drive Cage	max 4	Configuration Rule	Selection constraint for Drive Cage: max 4
Drive Enclosures / Drives	Drive Cage	max 4	Configuration Rule	Mixing of Drive Cage not allowed.
Storage Controllers	Internal Storage Controller Cables	max 2	Configuration Rule	Selection constraint for Internal Storage Controller Cables: max 2
Cooling / Thermal	Heatsink Kit	max 1	Configuration Rule	This Cable (P76700-B21) can be selected only if MR416i-p controller is selected.
Cooling / Thermal	Heatsink Kit	max 1	Configuration Rule	This Cable (P76702-B21) can be selected only if MR416i-o controller is selected.
Drive Enclosures / Drives	Hot Plug SFF	max 4	Configuration Rule	Selection constraint for Hot Plug SFF: max 4
Storage Controllers	RAID Settings	max 1	Configuration Rule	Selection constraint for RAID Settings: max 1
Software & Licenses	iLO Common Password	max 1	Configuration Rule	Selection constraint for iLO Common Password: max 1
Memory	Memory Setting	max 1	Configuration Rule	Selection constraint for Memory Setting: max 1
PCIe Risers	Riser Cards	max 5	Configuration Rule	Selection constraint for Riser Cards: max 5
Cables & Enablement Kits	Accessories	max 3	Configuration Rule	Selection constraint for Accessories: max 3
Networking	Ethernet OCP	max 2	Configuration Rule	Selection constraint for Ethernet OCP: max 2
