Main Category	Sub-Category	Hierarchy Path	Component Role	Constraint Text	Subcategory Min Qty	Subcategory Max Qty	Table Rule/Note	Product #	Option Type	Description	Current Qty	Unit Price (USD)	Price Delta (USD)	Extended Price (USD)	Price per GB (USD)	HPE Recommended	Start Date	Discontinued Date	Diff Status	Previous List Price (USD)	Price Change (USD)	Price Change (%)	Price History Trail
Chassis	Variants	HPE OCA > DL380a Gen12 [P76706-B21] > Chassis > Variants	Base Chassis	min 1, max 1	1	1	Base chassis captured from the active OCA configuration summary	P76706-B21	CTO	HPE ProLiant Compute DL380a Gen12 8 Double Wide/16 Single Wide Configure-to-order Server	1	21407.00				Yes	03/03/2025	02/29/2028	ADDED	N/A	+$21407.00	+100.00%	2026-09-06: $21407.00
Processor	Processor	HPE OCA > DL380a Gen12 [P76706-B21] > Processor > Processor	Processor	min 1, max 2	1	2	Selection constraint for Processor: max 2	P71117-B21	Standard	Intel Xeon 6710E 2.4GHz 64-core 205W Processor for HPE	0	6096.00	0	0		No	11/04/2024	06/30/2029	ADDED	N/A	+$6096.00	+100.00%	2026-09-06: $6096.00
Processor	Processor	HPE OCA > DL380a Gen12 [P76706-B21] > Processor > Processor	Processor	min 1, max 2	1	2	Selection constraint for Processor: max 2	P73834-B21	Standard	Intel Xeon 6767P 2.4GHz 64-core 350W Processor for HPE	0	22485.00	0	0		No	02/24/2025	06/30/2029	ADDED	N/A	+$22485.00	+100.00%	2026-09-06: $22485.00
Processor	Processor	HPE OCA > DL380a Gen12 [P76706-B21] > Processor > Processor	Processor	min 1, max 2	1	2	Selection constraint for Processor: max 2	P74506-B21	Standard	Intel Xeon 6515P 2.3GHz 16-core 150W Processor for HPE	0	2457.00	0	0		No	02/24/2025	06/30/2029	ADDED	N/A	+$2457.00	+100.00%	2026-09-06: $2457.00
Processor	Processor	HPE OCA > DL380a Gen12 [P76706-B21] > Processor > Processor	Processor	min 1, max 2	1	2	Selection constraint for Processor: max 2	P74508-B21	Standard	Intel Xeon 6714P 4.0GHz 8-core 165W Processor for HPE	0	8941.00	0	0		No	06/02/2025	06/30/2029	ADDED	N/A	+$8941.00	+100.00%	2026-09-06: $8941.00
Processor	Processor	HPE OCA > DL380a Gen12 [P76706-B21] > Processor > Processor	Processor	min 1, max 2	1	2	Selection constraint for Processor: max 2	P74509-B21	Standard	Intel Xeon 6724P 3.6GHz 16-core 210W Processor for HPE	0	11074.00	0	0		No	06/02/2025	06/30/2029	ADDED	N/A	+$11074.00	+100.00%	2026-09-06: $11074.00
Processor	Processor	HPE OCA > DL380a Gen12 [P76706-B21] > Processor > Processor	Processor	min 1, max 2	1	2	Selection constraint for Processor: max 2	P74570-B21	Standard	Intel Xeon 6527P 3.0GHz 24-core 255W Processor for HPE	0	8123.00	0	0		No	02/24/2025	06/30/2029	ADDED	N/A	+$8123.00	+100.00%	2026-09-06: $8123.00
Processor	Processor	HPE OCA > DL380a Gen12 [P76706-B21] > Processor > Processor	Processor	min 1, max 2	1	2	Selection constraint for Processor: max 2	P74571-B21	Standard	Intel Xeon 6530P 2.3GHz 32-core 225W Processor for HPE	0	6830.00	0	0		No	02/24/2025	06/30/2029	ADDED	N/A	+$6830.00	+100.00%	2026-09-06: $6830.00
Processor	Processor	HPE OCA > DL380a Gen12 [P76706-B21] > Processor > Processor	Processor	min 1, max 2	1	2	Selection constraint for Processor: max 2	P71119-B21	Standard	Intel Xeon 6740E 2.4GHz 96-core 250W Processor for HPE	0	8459.00	0	0		No	11/04/2024	06/30/2029	ADDED	N/A	+$8459.00	+100.00%	2026-09-06: $8459.00
Processor	Processor	HPE OCA > DL380a Gen12 [P76706-B21] > Processor > Processor	Processor	min 1, max 2	1	2	Selection constraint for Processor: max 2	P71120-B21	Standard	Intel Xeon 6746E 2.0GHz 112-core 250W Processor for HPE	0	8965.00	0	0		No	11/04/2024	06/30/2029	ADDED	N/A	+$8965.00	+100.00%	2026-09-06: $8965.00
