Main Category	Sub-Category	Constraint	Min Qty	Max Qty	Total SKUs	Has Rules	Rule Count
Processor	Processor	max 2	0	2	31	Yes	1
Memory	Memory	max 32	0	32	12	Yes	3
Networking	InfiniBand PCIe	max 2	0	2	15	Yes	1
Networking	Ethernet PCIe	max 2	0	2	13	Yes	1
Networking	Ethernet OCP	max 2	0	2	11	Yes	1
Networking	Fibre Channel HBA	max 2	0	2	6	Yes	1
Networking	Transceivers	max 14	0	14	14	Yes	1
OS Boot Device	OS Boot Device	max 2	0	2	1	Yes	1
HPE Compute Ops Management	Compute Ops Management SKUs	required	1	Required	1	Yes	1
Chassis	Variants	min 1, max 1 — Active OCA CTO chassis	1	1	1	Yes	1
Cooling / Thermal	Heatsink Kit	max 1	0	1	1	Yes	1
Graphics & GPU	GPU Mode	max 1	0	1	4	Yes	1
Storage Controllers	SAS Controller	max 2	0	2	3	Yes	1
Drive Enclosures / Drives	Drive Cage	max 4	0	4	2	Yes	2
Storage Controllers	Internal Storage Controller Cables	max 2	0	2	10	Yes	2
Processor	Intel Xeon 6th Gen Scalable Processors	min 1, max 2	1	2	1	Yes	1
Storage Controllers	Tri-Mode MegaRAID Storage Controllers	max 4	0	4	1	Yes	1
Drive Enclosures / Drives	Solid State Drives (NVMe/SAS/SATA)	max 4	0	4	46	Yes	2
Storage Controllers	RAID Settings	max 1	0	1	5	Yes	1
Software & Licenses	iLO Common Password	max 1	0	1	1	Yes	1
Memory	Memory Setting	max 1	0	1	1	Yes	1
PCIe Risers	Riser Cards	max 5	0	5	6	Yes	1
Cables & Enablement Kits	Accessories	max 3	0	3	1	Yes	1
Cables & Enablement Kits	OCP3 Networking Adapters	max 3	0	3	1	Yes	1
Networking	PCIe Networking Adapters	max 8	0	8	1	Yes	1
Graphics & GPU	Graphics Accessories	max 16	0	16	4	Yes	1
Power Supplies	Power Supplies	max 8	1	8	3	Yes	2
Power Supplies	Flex Slot Power Supplies	max 4	1	4	2	Yes	1
Cooling / Thermal	High Performance & Standard Fan Kits	max 6	0	6	3	Yes	2
Cooling / Thermal	Power Cooling Options	max 2	0	2	4	Yes	1
Cables & Enablement Kits	Power Cords	max 8	0	8	9	Yes	2
Cables & Enablement Kits	Management Hardware	max 2	0	2	1	Yes	1
Software & Licenses	Server Management & Operating System Licenses	required	1	Required	13	Yes	2
Accessories & Infrastructure	Chassis Infrastructure & Rail Kits	max 1	0	1	3	Yes	2
OS Boot Device	Solid State Drives (NVMe/SAS/SATA)	max 2	0	2	4	Yes	1
Accessories & Infrastructure	Accessories & Infrastructure Options	max 2	0	2	1	Yes	1
Software & Licenses	High Availability Computing - Cluster Software	no max	0	Unlimited	1	Yes	1
Software & Licenses	Partner Software - Operating System	no max	0	Unlimited	9	Yes	1
Software & Licenses	OEM Software	no max	0	Unlimited	4	Yes	1
Software & Licenses	iLO	no max	0	Unlimited	6	Yes	1
Software & Licenses	OneView Management Software	max 1	0	1	5	Yes	1
Storage Controllers	INTEL VROC Products	max 1	0	1	2	Yes	1
Software & Licenses	Supported Operating System	no max	0	Unlimited	93	Yes	3
Software & Licenses	Red Hat OpenShift Platform Container	no max	0	Unlimited	30	Yes	1
Software & Licenses	SUSE Linux Enterprise Server	no max	0	Unlimited	38	Yes	2
Software & Licenses	Red Hat Enterprise Linux Server-Virtualization	no max	0	Unlimited	18	Yes	1
Graphics & GPU	GPU Accelerators	Optional	0	8	8	Yes	1
