Main Category	Sub-Category	Constraint	Rule Type	Rule Text
Energy Star	Energy Star	max 1	Quantity Constraint	Quantity: max 1
Processor	Processor	max 4	Quantity Constraint	Quantity: max 4
Unknown	Heatsink Kit	min 1, Required	Quantity Constraint	Quantity: min 1, Required
Memory	Memory	max 32	Quantity Constraint	Quantity: max 32
Unknown	Drive Cage	max 5	Quantity Constraint	Quantity: max 5
Unknown	SAS Controller	max 4	Quantity Constraint	Quantity: max 4
Unknown	Smart Storage Battery	max 3	Quantity Constraint	Quantity: max 3
Cables	Internal Storage Controller Cables	max 1	Quantity Constraint	Quantity: max 1
Unknown	RAID Settings	max 1	Quantity Constraint	Quantity: max 1
Unknown	Optical Drive	max 1	Quantity Constraint	Quantity: max 1
Unknown	iLO Common Password	max 1	Quantity Constraint	Quantity: max 1
Unknown	Trusted Supply Chain	max 1	Quantity Constraint	Quantity: max 1
Unknown	Identifier/Tracking SKUs	max 1	Quantity Constraint	Quantity: max 1
Unknown	Riser Cards	max 6	Quantity Constraint	Quantity: max 6
Accessories	Accessories	max 2	Quantity Constraint	Quantity: max 2
Unknown	Ethernet PCIe	max 4	Quantity Constraint	Quantity: max 4
Unknown	InfiniBand PCIe	max 4	Quantity Constraint	Quantity: max 4
Cables	Ethernet Cables and QSFP/SFP	max 14	Quantity Constraint	Quantity: max 14
Unknown	Fibre Channel HBA	max 4	Quantity Constraint	Quantity: max 4
Unknown	OCP Ethernet	max 2	Quantity Constraint	Quantity: max 2
Unknown	Upgrades	max 4	Quantity Constraint	Quantity: max 4
Transceivers	Transceivers	max 14	Quantity Constraint	Quantity: max 14
OS Boot Device	OS Boot Device	max 2	Quantity Constraint	Quantity: max 2
Management Hardware	Management Hardware	max 1	Quantity Constraint	Quantity: max 1
Unknown	Security Hardware	max 1	Quantity Constraint	Quantity: max 1
Manufacturing Services	Manufacturing Services	max 2	Quantity Constraint	Quantity: max 2
Unknown		Unlimited	Quantity Constraint	Quantity: Unlimited
Rack Options	Rack Options	max 2	Quantity Constraint	Quantity: max 2
Power Supplies	Power Supplies	max 4	Quantity Constraint	Quantity: max 4
