Main Category,Sub-Category,Hierarchy Path,Component Role,Constraint Text,Subcategory Min Qty,Subcategory Max Qty,Table Rule/Note,Product #,Option Type,Description,Current Qty,Unit Price (USD),Price Delta (USD),Extended Price (USD),Price per GB (USD),HPE Recommended,Start Date,Discontinued Date,Diff Status,Previous List Price (USD),Price Change (USD),Price Change (%),Price History Trail
Chassis,Variants,HPE OCA > MSL3040 Tape [Q2R41A] > Chassis > Variants,Base Chassis,"min 1, max 1",1,1,Base chassis captured from the active OCA configuration summary,Q2R41A,CTO,HPE StoreEver MSL3040 Tape Library Base Module CTO Chassis,1,"$4,500.00",,,,Yes,,,ADDED,N/A,"$4,500.00",$100.00,"$2,026.00"
Accessories & Infrastructure,Encryption Kit,HPE OCA > MSL3040 Tape [Q2R41A] > Accessories & Infrastructure > Encryption Kit,Chassis Infrastructure,max 999,0,999,Selection constraint for Encryption Kit: max 999,AM495A,Standard,"2,500.00",0,$10.00,,$9.00,,No,10/23/2017,09/30/2027,ADDED,N/A,"$10,232,017.00",$100.00,"$2,026.00"
Power Supplies,Power Supply,HPE OCA > MSL3040 Tape [Q2R41A] > Power Supplies > Power Supply,Power Supply,"min 1, max 1",1,1,Selection constraint for Power Supply: max 1,Q6Q64A,Standard,780.00,0,$12.00,,$9.00,,No,12/04/2017,09/30/2031,ADDED,N/A,"$12,042,017.00",$100.00,"$2,026.00"
Cables & Enablement Kits,FibreChannel Cables,HPE OCA > MSL3040 Tape [Q2R41A] > Cables & Enablement Kits > FibreChannel Cables,Cable Kit,max 999,0,999,Selection constraint for FibreChannel Cables: max 999,AJ838A,Standard,208.00,0,$0.00,,$10.00,,11/30/2028,10/23/2017,11/30/2028,ADDED,N/A,$0.00,$0.00,2026-09-09: (no price)
Cables & Enablement Kits,FibreChannel Cables,HPE OCA > MSL3040 Tape [Q2R41A] > Cables & Enablement Kits > FibreChannel Cables,Cable Kit,max 999,0,999,Selection constraint for FibreChannel Cables: max 999,AJ836A,Standard,115.00,0,$0.00,,$10.00,,11/30/2028,10/23/2017,11/30/2028,ADDED,N/A,$0.00,$0.00,2026-09-09: (no price)
Cables & Enablement Kits,FibreChannel Cables,HPE OCA > MSL3040 Tape [Q2R41A] > Cables & Enablement Kits > FibreChannel Cables,Cable Kit,max 999,0,999,Selection constraint for FibreChannel Cables: max 999,AJ839A,Standard,253.00,0,$0.00,,$10.00,,11/30/2028,10/23/2017,11/30/2028,ADDED,N/A,$0.00,$0.00,2026-09-09: (no price)
Cables & Enablement Kits,FibreChannel Cables,HPE OCA > MSL3040 Tape [Q2R41A] > Cables & Enablement Kits > FibreChannel Cables,Cable Kit,max 999,0,999,Selection constraint for FibreChannel Cables: max 999,QK732A,Standard,115.00,0,$0.00,,$10.00,,11/30/2028,10/23/2017,11/30/2028,ADDED,N/A,$0.00,$0.00,2026-09-09: (no price)
Cables & Enablement Kits,FibreChannel Cables,HPE OCA > MSL3040 Tape [Q2R41A] > Cables & Enablement Kits > FibreChannel Cables,Cable Kit,max 999,0,999,Selection constraint for FibreChannel Cables: max 999,QK737A,Standard,415.00,0,$0.00,,$10.00,,11/30/2028,10/23/2017,11/30/2028,ADDED,N/A,$0.00,$0.00,2026-09-09: (no price)
Cables & Enablement Kits,FibreChannel Cables,HPE OCA > MSL3040 Tape [Q2R41A] > Cables & Enablement Kits > FibreChannel Cables,Cable Kit,max 999,0,999,Selection constraint for FibreChannel Cables: max 999,AJ837A,Standard,162.00,0,$0.00,,$10.00,,11/30/2028,10/23/2017,11/30/2028,ADDED,N/A,$0.00,$0.00,2026-09-09: (no price)
Cables & Enablement Kits,FibreChannel Cables,HPE OCA > MSL3040 Tape [Q2R41A] > Cables & Enablement Kits > FibreChannel Cables,Cable Kit,max 999,0,999,Selection constraint for FibreChannel Cables: max 999,QK735A,Standard,195.00,0,$0.00,,$10.00,,11/30/2028,10/23/2017,11/30/2028,ADDED,N/A,$0.00,$0.00,2026-09-09: (no price)
