Main Category	Sub-Category	Hierarchy Path	Component Role	Constraint Text	Subcategory Min Qty	Subcategory Max Qty	Table Rule/Note	Product #	Option Type	Description	Current Qty	Unit Price (USD)	Price Delta (USD)	Extended Price (USD)	Price per GB (USD)	HPE Recommended	Availability	Lead Time	Lead Time Source	Lifecycle Status	Start Date	Discontinued Date	Vendor Attributes (JSON)	Diff Status	Previous List Price (USD)	Price Change (USD)	Price Change (%)	Price History Trail
Chassis	Variants	HPE OCA > OCA Solution > Chassis > Variants	Base Chassis	min 1, max 1	1	1	Base chassis captured from the active OCA configuration summary	Q2R41A	CTO	HPE StoreEver MSL3040 Tape Library Base Module CTO Chassis	1	4500.00				Yes				Active				ATTRIBUTE_CHANGED	4500.00	$0.00	0.00%	2026-09-09: $4500.00
Accessories & Infrastructure	Encryption Kit	HPE OCA > OCA Solution > Accessories & Infrastructure > Encryption Kit	Chassis Infrastructure	max 999	0	999	Selection constraint for Encryption Kit: max 999	AM495A	Standard	2,500.00	0	10/23/2017		09/30/2027		No				Active	10/23/2017	09/30/2027		PRICE_AND_ATTRIBUTE_CHANGED	2500.00	+$10229517.00	+409180.68%	2026-09-09: $10232017.00
Accessories & Infrastructure	Encryption Kit	HPE OCA > OCA Solution > Accessories & Infrastructure > Encryption Kit	Discontinued Hardware	max 999	0	999	Selection constraint for Encryption Kit: max 999	469776-715	CTO	[REMOVED SKU] HPE Add Generic Packaging Kit	0	1.00	-	0.00	-	No					2026-09-09	2026-09-09		REMOVED	1.00	-$1.00	-100.00%	2026-09-09: $1.00 (✕ REMOVED)
Accessories & Infrastructure	Encryption Kit	HPE OCA > OCA Solution > Accessories & Infrastructure > Encryption Kit	Discontinued Hardware	max 999	0	999	Selection constraint for Encryption Kit: max 999	HA453A1-001	CTO	[REMOVED SKU] HPE FE Proliant Svr Pkg 3 SVC	0	205.00	-	0.00	-	No					2026-09-09	2026-09-09		REMOVED	205.00	-$205.00	-100.00%	2026-09-09: $205.00 (✕ REMOVED)
Accessories & Infrastructure	Encryption Kit	HPE OCA > OCA Solution > Accessories & Infrastructure > Encryption Kit	Discontinued Hardware	max 999	0	999	Selection constraint for Encryption Kit: max 999	HA453A1-003	CTO	[REMOVED SKU] HPE FE Multi-node Svr Pkg 3 SVC	0	315.00	-	0.00	-	No					2026-09-09	2026-09-09		REMOVED	315.00	-$315.00	-100.00%	2026-09-09: $315.00 (✕ REMOVED)
Accessories & Infrastructure	Encryption Kit	HPE OCA > OCA Solution > Accessories & Infrastructure > Encryption Kit	Discontinued Hardware	max 999	0	999	Selection constraint for Encryption Kit: max 999	HA453A1-023	CTO	[REMOVED SKU] HPE FE High End Storage Pkg 3 SVC	0	384.00	-	0.00	-	No					2026-09-09	2026-09-09		REMOVED	384.00	-$384.00	-100.00%	2026-09-09: $384.00 (✕ REMOVED)
Accessories & Infrastructure	Encryption Kit	HPE OCA > OCA Solution > Accessories & Infrastructure > Encryption Kit	Discontinued Hardware	max 999	0	999	Selection constraint for Encryption Kit: max 999	ZU706A	CTO	[REMOVED SKU] HPE Server Customization Package	0	149.00	-	0.00	-	No					2026-09-09	2026-09-09		REMOVED	149.00	-$149.00	-100.00%	2026-09-09: $149.00 (✕ REMOVED)
Accessories & Infrastructure	Encryption Kit	HPE OCA > OCA Solution > Accessories & Infrastructure > Encryption Kit	Discontinued Hardware	max 999	0	999	Selection constraint for Encryption Kit: max 999	ZU723A	CTO	[REMOVED SKU] HPE Customization Service	0	110.00	-	0.00	-	No					2026-09-09	2026-09-09		REMOVED	110.00	-$110.00	-100.00%	2026-09-09: $110.00 (✕ REMOVED)
Power Supplies	Power Supply	HPE OCA > OCA Solution > Power Supplies > Power Supply	Power Supply	min 1, max 1	1	1	Selection constraint for Power Supply: max 1	Q6Q64A	Standard	780.00	0	12/04/2017		09/30/2031		No				Active	12/04/2017	09/30/2031		PRICE_AND_ATTRIBUTE_CHANGED	780.00	+$12041237.00	+1543748.33%	2026-09-09: $12042017.00
Cables & Enablement Kits	FibreChannel Cables	HPE OCA > OCA Solution > Cables & Enablement Kits > FibreChannel Cables	Cable Kit	max 999	0	999	Selection constraint for FibreChannel Cables: max 999	AJ838A	Standard	208.00	0	0		10/23/2017		11/30/2028				Active	10/23/2017	11/30/2028		PRICE_AND_ATTRIBUTE_CHANGED	208.00	$-208.00	-100.00%	2026-09-09: (no price)
Cables & Enablement Kits	FibreChannel Cables	HPE OCA > OCA Solution > Cables & Enablement Kits > FibreChannel Cables	Cable Kit	max 999	0	999	Selection constraint for FibreChannel Cables: max 999	AJ836A	Standard	115.00	0	0		10/23/2017		11/30/2028				Active	10/23/2017	11/30/2028		PRICE_AND_ATTRIBUTE_CHANGED	115.00	$-115.00	-100.00%	2026-09-09: (no price)
