Main Category	Sub-Category	Hierarchy Path	Component Role	Constraint Text	Subcategory Min Qty	Subcategory Max Qty	Table Rule/Note	Product #	Option Type	Description	Current Qty	Unit Price (USD)	Price Delta (USD)	Extended Price (USD)	Price per GB (USD)	HPE Recommended	Start Date	Discontinued Date	Diff Status	Previous List Price (USD)	Price Change (USD)	Price Change (%)	Price History Trail
Storage Controllers	Tape Drives	HPE OCA > MSL3040 Tape [Q2R41A] > Storage Controllers > Tape Drives	Storage Controller	max 3	0	3	Selection constraint for Tape Drives: max 3	C0H28A	Standard	5,300.00	0	10/23/2017		04/30/2024		No	10/23/2017	04/30/2024	BASELINE	N/A	$0.00	0.00%	2026-09-09: $10232017.00
Storage Controllers	Tape Drives	HPE OCA > MSL3040 Tape [Q2R41A] > Storage Controllers > Tape Drives	Storage Controller	max 3	0	3	Selection constraint for Tape Drives: max 3	C0H27A	Standard	5,100.00	0	10/23/2017		11/30/2023		No	10/23/2017	11/30/2023	BASELINE	N/A	$0.00	0.00%	2026-09-09: $10232017.00
Storage Controllers	Tape Drives	HPE OCA > MSL3040 Tape [Q2R41A] > Storage Controllers > Tape Drives	Storage Controller	max 3	0	3	Selection constraint for Tape Drives: max 3	N7P36A	Standard	9,362.00	0	10/23/2017		07/17/2026		No	10/23/2017	07/17/2026	BASELINE	N/A	$0.00	0.00%	2026-09-09: $10232017.00
Storage Controllers	Tape Drives	HPE OCA > MSL3040 Tape [Q2R41A] > Storage Controllers > Tape Drives	Storage Controller	max 3	0	3	Selection constraint for Tape Drives: max 3	N7P37A	Standard	9,010.00	0	10/23/2017		07/17/2026		No	10/23/2017	07/17/2026	BASELINE	N/A	$0.00	0.00%	2026-09-09: $10232017.00
Storage Controllers	Tape Drives	HPE OCA > MSL3040 Tape [Q2R41A] > Storage Controllers > Tape Drives	Storage Controller	max 3	0	3	Selection constraint for Tape Drives: max 3	Q6Q67A	Standard	21,600.00	0	02/05/2018		05/31/2030		No	02/05/2018	05/31/2030	BASELINE	N/A	$0.00	0.00%	2026-09-09: $2052018.00
Storage Controllers	Tape Drives	HPE OCA > MSL3040 Tape [Q2R41A] > Storage Controllers > Tape Drives	Storage Controller	max 3	0	3	Selection constraint for Tape Drives: max 3	Q6Q68A	Standard	16,800.00	0	02/05/2018		05/31/2030		No	02/05/2018	05/31/2030	BASELINE	N/A	$0.00	0.00%	2026-09-09: $2052018.00
Storage Controllers	Tape Drives	HPE OCA > MSL3040 Tape [Q2R41A] > Storage Controllers > Tape Drives	Storage Controller	max 3	0	3	Selection constraint for Tape Drives: max 3	R6Q74A	Service	33,000.00	0	01/10/2022		05/31/2030		No	01/10/2022	05/31/2030	BASELINE	N/A	$0.00	0.00%	2026-09-09: $1102022.00
Storage Controllers	Tape Drives	HPE OCA > MSL3040 Tape [Q2R41A] > Storage Controllers > Tape Drives	Storage Controller	max 3	0	3	Selection constraint for Tape Drives: max 3	R6Q75A	Service	24,000.00	0	01/10/2022		05/31/2030		No	01/10/2022	05/31/2030	BASELINE	N/A	$0.00	0.00%	2026-09-09: $1102022.00
Cables & Enablement Kits	Power Cord	HPE OCA > MSL3040 Tape [Q2R41A] > Cables & Enablement Kits > Power Cord	Cable Kit	Unlimited	0	Unlimited	Selection constraint for Power Cord: no max	AF570A	Standard	55.00	0	0		10/23/2017		09/30/2028	10/23/2017	09/30/2028	BASELINE	N/A	$0.00	0.00%	2026-09-09: (no price)
Cables & Enablement Kits	Power Cord	HPE OCA > MSL3040 Tape [Q2R41A] > Cables & Enablement Kits > Power Cord	Cable Kit	Unlimited	0	Unlimited	Selection constraint for Power Cord: no max	AF568A	Standard	71.00	0	0		10/23/2017		10/31/2031	10/23/2017	10/31/2031	BASELINE	N/A	$0.00	0.00%	2026-09-09: (no price)
