Main Category	Sub-Category	Constraint	Rule Type	Rule Text
Memory	Memory Blank Kit	max 1	Quantity Constraint	Quantity: max 1
Networking	Mezzanine Cards	max 3	Quantity Constraint	Quantity: max 3
Chassis	Variants	min 1, max 1 — Active OCA CTO chassis	Configuration Rule	Select exactly one currently discoverable, non-TAA/non-GTA CTO base chassis
OS Boot Device	Riser	max 1	Configuration Rule	Selection constraint for Riser: max 1
PCIe Risers	Riser	max 1	Configuration Rule	Available There are no "HPE Recommended products" available. Please use the toggle to show potential alternatives.
Processor	Intel Xeon 6th Gen Scalable Processors	required	Configuration Rule	Selection constraint for Intel Xeon 6th Gen Scalable Processors: required
Cooling / Thermal	Standard & Performance Heat Sinks	max 6	Configuration Rule	The total qty of heat sink selected should match with the qty of processor selected.
Memory	DDR5 Registered Smart Memory	max 32	Configuration Rule	Selection constraint for DDR5 Registered Smart Memory: max 32
Memory	DDR5 Registered Smart Memory	max 32	Configuration Rule	These products are hidden due to Supply constraints
Memory	Memory Blank Kit	max 1	Configuration Rule	Selection constraint for Memory Blank Kit: max 1
Drive Enclosures / Drives	Drive Cage	required	Configuration Rule	Selection constraint for Drive Cage: required
Accessories & Infrastructure	Energy Star	max 1	Configuration Rule	Selection constraint for Energy Star: max 1
Software & Licenses	Server Management & Operating System Licenses	max 1	Configuration Rule	Selection constraint for Server Management & Operating System Licenses: max 1
Memory	DDR5 Registered Smart Memory	max 1	Configuration Rule	Selection constraint for DDR5 Registered Smart Memory: max 1
Storage Controllers	RAID Settings	max 1	Configuration Rule	Selection constraint for RAID Settings: max 1
Networking	Mezzanine Cards	max 3	Configuration Rule	Selection constraint for Mezzanine Cards: max 3
Storage Controllers	OCP3 Networking Adapters	max 1	Configuration Rule	Selection constraint for OCP3 Networking Adapters: max 1
Cables & Enablement Kits	Cable	max 1	Configuration Rule	Selection constraint for Cable: max 1
Networking	PCIe Networking Adapters	max 2	Configuration Rule	Selection constraint for PCIe Networking Adapters: max 2
Storage Controllers	Tri-Mode MegaRAID Storage Controllers	max 1	Configuration Rule	Available There are no "HPE Recommended products" available. Please use the toggle to show potential alternatives.
Cables & Enablement Kits	Upgrade	max 1	Configuration Rule	Selection constraint for Upgrade: max 1
Software & Licenses	Server Management & Operating System Licenses	no max	Configuration Rule	Selection constraint for Server Management & Operating System Licenses: no max
Software & Licenses	System Options	no max	Configuration Rule	Selection constraint for System Options: no max
Processor	PCIe Networking Adapters	min 1, max 2	Configuration Rule	Selection constraint for PCIe Networking Adapters: min 1, max 2
Accessories & Infrastructure	System Options	optional	Configuration Rule	Selection constraint for System Options: optional
Software & Licenses	Red Hat Enterprise Linux Server	Discontinued	Configuration Rule	[DISCONTINUED] SKU present in previous scrape but removed from active catalog
Software & Licenses	OEM Software	Discontinued	Configuration Rule	[DISCONTINUED] SKU present in previous scrape but removed from active catalog
