Main Category	Sub-Category	Constraint	Min Qty	Max Qty	Total SKUs	Has Rules	Rule Count
Memory	Memory Blank Kit	max 1	0	1	1	Yes	1
Networking	Mezzanine Cards	max 3	0	3	1	Yes	1
Chassis	Variants	min 1, max 1 — Active OCA CTO chassis	1	1	1	Yes	1
OS Boot Device	Riser	max 1	0	1	1	Yes	1
PCIe Risers	Riser	max 1	0	1	4	Yes	1
Processor	Intel Xeon 6th Gen Scalable Processors	required	1	Required	16	Yes	1
Cooling / Thermal	Standard & Performance Heat Sinks	max 6	0	6	2	Yes	1
Memory	DDR5 Registered Smart Memory	max 32	0	32	13	Yes	3
Drive Enclosures / Drives	Drive Cage	required	1	Required	5	Yes	1
Accessories & Infrastructure	Energy Star	max 1	0	1	1	Yes	1
Software & Licenses	Server Management & Operating System Licenses	max 1	0	1	83	Yes	7
Storage Controllers	RAID Settings	max 1	0	1	7	Yes	2
Storage Controllers	OCP3 Networking Adapters	max 1	0	1	1	Yes	1
Cables & Enablement Kits	Cable	max 1	0	1	1	Yes	1
Networking	PCIe Networking Adapters	max 2	0	2	2	Yes	1
Storage Controllers	Tri-Mode MegaRAID Storage Controllers	max 1	0	1	1	Yes	1
Cables & Enablement Kits	Upgrade	max 1	0	1	1	Yes	1
Software & Licenses	System Options	no max	0	Unlimited	3	Yes	1
Processor	PCIe Networking Adapters	min 1, max 2	1	2	4	Yes	1
Accessories & Infrastructure	System Options	optional	0	Optional	6	Yes	1
Software & Licenses	Red Hat Enterprise Linux Server	Discontinued	0	Discontinued	22	Yes	1
Software & Licenses	OEM Software	Discontinued	0	Discontinued	2	Yes	1
