Main Category	Sub-Category	Hierarchy Path	Component Role	Constraint Text	Subcategory Min Qty	Subcategory Max Qty	Table Rule/Note	Product #	Option Type	Description	Current Qty	Unit Price (USD)	Price Delta (USD)	Extended Price (USD)	Price per GB (USD)	HPE Recommended	Availability	Lead Time	Lead Time Source	Lifecycle Status	Start Date	Discontinued Date	Vendor Attributes (JSON)	Diff Status	Previous List Price (USD)	Price Change (USD)	Price Change (%)	Price History Trail
Storage Controllers	RAID Settings	HPE OCA > SY480 Gen12 [P68217-B21] > Storage Controllers > RAID Settings	Storage Controller	max 1	0	1	Selection constraint for RAID Settings: max 1	R7J59AAE	Service	Intel Virtual RAID on CPU Premium E-RTU for HPE	0	0	0	0		No	Available		Not published by OCA	Active	04/06/2021	02/29/2028	{"Price Delta (USD)":"0","Extended Price (USD)":"0"}	BASELINE	N/A	$0.00	0.00%	2026-09-11: (no price)
Storage Controllers	RAID Settings	HPE OCA > SY480 Gen12 [P68217-B21] > Storage Controllers > RAID Settings	Storage Controller	max 1	0	1	Selection constraint for RAID Settings: max 1	S3Q39AAE	Service	Intel Virtual RAID on CPU RAID 1 E-RTU for HPE	0	0	0	0		No	Available		Not published by OCA	Active	04/01/2024	02/29/2028	{"Price Delta (USD)":"0","Extended Price (USD)":"0"}	BASELINE	N/A	$0.00	0.00%	2026-09-11: (no price)
Storage Controllers	Intel VROC RAID Enablement	HPE OCA > SY480 Gen12 [P68217-B21] > Storage Controllers > Intel VROC RAID Enablement	Storage Controller	Unlimited	0	Unlimited	The VROC SKUs could be selected only if the NVMe drives are selected with either 4SFF Dir Conn Kit (P68219-B21) or 8EDSFF Kit (P68220-B21)	R7J57A	Service	Intel Virtual RAID on CPU Premium FIO Software for HPE	0	0	0	0		No	Not published by OCA		Not published by OCA	Active	04/06/2021	02/29/2028	{"Price Delta (USD)":"0","Extended Price (USD)":"0"}	BASELINE	N/A	$0.00	0.00%	2026-09-11: (no price)
Storage Controllers	Intel VROC RAID Enablement	HPE OCA > SY480 Gen12 [P68217-B21] > Storage Controllers > Intel VROC RAID Enablement	Storage Controller	Unlimited	0	Unlimited	The VROC SKUs could be selected only if the NVMe drives are selected with either 4SFF Dir Conn Kit (P68219-B21) or 8EDSFF Kit (P68220-B21)	S3Q19A	Service	Intel Virtual RAID on CPU RAID 1 FIO Software for HPE	0	0	0	0		No	Not published by OCA		Not published by OCA	Active	04/01/2024	02/29/2028	{"Price Delta (USD)":"0","Extended Price (USD)":"0"}	BASELINE	N/A	$0.00	0.00%	2026-09-11: (no price)
Software & Licenses	Server Management & Operating System Licenses	HPE OCA > SY480 Gen12 [P68217-B21] > Software & Licenses > Server Management & Operating System Licenses	Operating System / License	max 1	0	1	Selection constraint for Server Management & Operating System Licenses: max 1	S6K30B	Service	Microsoft Windows Server 2025 16-core Standard FIO Not Pre-installed WW ESD LTU	0	0		0		No	Available		Not published by OCA	Active	09/02/2025	11/30/2027	{"Extended Price (USD)":"0"}	BASELINE	N/A	$0.00	0.00%	2026-09-11: (no price)
Software & Licenses	Server Management & Operating System Licenses	HPE OCA > SY480 Gen12 [P68217-B21] > Software & Licenses > Server Management & Operating System Licenses	Operating System / License	max 1	0	1	Selection constraint for Server Management & Operating System Licenses: max 1	S6L35B	Service	Microsoft Windows Server 2025 16-core Datacenter FIO Not Pre-installed WW ESD LTU	0	0		0		No	Available		Not published by OCA	Active	09/02/2025	11/30/2027	{"Extended Price (USD)":"0"}	BASELINE	N/A	$0.00	0.00%	2026-09-11: (no price)
Support Services	Server Management & Operating System Licenses	HPE OCA > SY480 Gen12 [P68217-B21] > Support Services > Server Management & Operating System Licenses	Service & Support	max 1	0	1	Selection constraint for Server Management & Operating System Licenses: max 1	P46194-B21	Standard	Microsoft Windows Server 2022 1 Device CAL en/cs/de/es/fr/it/nl/pl/pt/ru/sv/ko/ja/xc LTU	0	0		0		No	Obsolete (OB)		Not published by OCA	Obsolete (OB)	11/01/2021	05/31/2025	{"Extended Price (USD)":"0"}	BASELINE	N/A	$0.00	0.00%	2026-09-11: (no price)
Support Services	Server Management & Operating System Licenses	HPE OCA > SY480 Gen12 [P68217-B21] > Support Services > Server Management & Operating System Licenses	Service & Support	max 1	0	1	Selection constraint for Server Management & Operating System Licenses: max 1	P46191-AA1	Standard	Microsoft Windows Server 2022 1 User CAL Chinese Simplified LTU	0	0		0		No	Obsolete (OB)		Not published by OCA	Obsolete (OB)	11/01/2021	05/31/2025	{"Extended Price (USD)":"0"}	BASELINE	N/A	$0.00	0.00%	2026-09-11: (no price)
Support Services	Server Management & Operating System Licenses	HPE OCA > SY480 Gen12 [P68217-B21] > Support Services > Server Management & Operating System Licenses	Service & Support	max 1	0	1	Selection constraint for Server Management & Operating System Licenses: max 1	P46191-B21	Standard	Microsoft Windows Server 2022 1 User CAL en/cs/de/es/fr/it/nl/pl/pt/ru/sv/ko/ja/xc LTU	0	0		0		No	Obsolete (OB)		Not published by OCA	Obsolete (OB)	11/01/2021	05/31/2025	{"Extended Price (USD)":"0"}	BASELINE	N/A	$0.00	0.00%	2026-09-11: (no price)
Support Services	Server Management & Operating System Licenses	HPE OCA > SY480 Gen12 [P68217-B21] > Support Services > Server Management & Operating System Licenses	Service & Support	max 1	0	1	Selection constraint for Server Management & Operating System Licenses: max 1	P46218-B21	Standard	Microsoft Windows Server 2022 10 Devices CAL en/cs/de/es/fr/it/nl/pl/pt/ru/sv/ko/ja/xc LTU	0	0		0		No	Obsolete (OB)		Not published by OCA	Obsolete (OB)	11/01/2021	05/31/2025	{"Extended Price (USD)":"0"}	BASELINE	N/A	$0.00	0.00%	2026-09-11: (no price)
